Row,References,Part,Value,P/N,Manufacture,Source,Supplier P/N,Link,Footprint,Description,Quantity Per PCB
1,C101 C102 C103 C104,C,22 nF,,,JLCPCB,,https://jlcpcb.com/partdetail/1884-0402B223K500NT/C1532,C_0402_1005Metric,Unpolarized capacitor,4
2,D101,SMAJ5.0CA,SMAJ5.0CA,,,JLCPCB,,https://jlcpcb.com/partdetail/GOODWORK-SMAJ50CA/C908809,D_SMA,"400W bidirectional Transient Voltage Suppressor, 5.0Vr, SMA(DO-214AC)",1
3,J101 J102 J103,Conn_01x02,AB1,,,,,,TerminalBlock_WAGO_236-402_1x02_P5.00mm_45Degree,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",3
4,J3,Conn_01x06,Analog,,,,,,PinSocket_1x06_P2.54mm_Vertical,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",1
5,J2,Conn_01x10,Digital/PWM,,,,,,PinSocket_1x10_P2.54mm_Vertical,"Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)",1
6,J1 J4,Conn_01x08,Power,,,,,,PinSocket_1x08_P2.54mm_Vertical,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",2
7,MH1 MH2 MH3 MH4,MountingHole_3.2mm,MountingHole_3.2mm,,,,,,MountingHole_3.2mm,,4
8,R101 R102 R103 R104 R105 R106 R107,R,100 kÎ©,,,JLCPCB,,https://jlcpcb.com/partdetail/26484-0402WGF1003TCE/C25741 https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,R_0402_1005Metric,Resistor,7
9,U102,AT24CS02-STUM,AT24CS02-STUM,,,JLCPCB,,https://jlcpcb.com/partdetail/IDCHIP-AD24C02/C5125083,SOT-23-5,"I2C Serial EEPROM, 2Kb (256x8) with Unique Serial Number, SOT-23-5",1
10,U101,Si8640BA-B-IU,Si8640BA-B-IU,,,JLCPCB,,https://jlcpcb.com/partdetail/HXYMOSFET-SI8640ED_B_ISHXY/C52145203,QSOP-16_3.9x4.9mm_P0.635mm,"Low-Power Quad-Channel Digital Isolator, 150Mbps, 2.5-5.5V, 1.0kV isolation, Fail-Safe Low, QSOP-16",1





Project info:
Schematic:,dreh_shield
Variant:,default
Revision:,0.1
Date:,2025-12-13
KiCad Version:,9.0.6+1
Statistics:
Component Groups:,10
Component Count:,25
Fitted Components:,25
Number of PCBs:,1
Total Components:,25
